id,code,name
"bt271","PY","PY - Plates, in bundle/bunch/truss"
"bt276","RJ","RJ - Rack, clothing hanger"
"bt277","AB","AB - Receptacle, fibre"
"bt278","GR","GR - Receptacle, glass"
"bt279","MR","MR - Receptacle, metal"
"bt280","AC","AC - Receptacle, paper"
"bt281","PR","PR - Receptacle, plastic"
"bt282","MW","MW - Receptacle, plastic wrapped"
"bt283","AD","AD - Receptacle, wooden"
"bt288","RZ","RZ - Rods, in bundle/bunch/truss"
"bt292","MS","MS - Sack, multi-wall"
"bt296","SP","SP - Sheet, plastic wrapping"
"bt298","SZ","SZ - Sheets, in bundle/bunch/truss"
"bt307","TY","TY - Tank, cylindrical"
"bt308","TK","TK - Tank, rectangular"
"bt313","DV","DV - Tray, one layer no cover, cardboard"
"bt314","DS","DS - Tray, one layer no cover, plastic"
"bt315","DU","DU - Tray, one layer no cover, polystyrene"
"bt316","DT","DT - Tray, one layer no cover, wooden"
"bt317","DY","DY - Tray, two layers no cover, cardboard"
"bt318","DW","DW - Tray, two layers no cover, plastic tray"
"bt319","DX","DX - Tray, two layers no cover, wooden"
"bt323","TL","TL - Tub, with lid"
"bt325","TD","TD - Tube, collapsible"
"bt326","TV","TV - Tube, with nozzle"
"bt327","TZ","TZ - Tubes, in bundle/bunch/truss"
"bt331","NG","NG - Unpacked or unpackaged, multiple units"
"bt332","NF","NF - Unpacked or unpackaged, single unit"
"bt1","AE","AE - Aerosol"
"bt4","AT","AT - Atomizer"
"bt5","BG","BG - Bag"
"bt27","BR","BR - Bar"
"bt28","BA","BA - Barrel"
"bt33","BM","BM - Basin"
"bt34","BK","BK - Basket"
"bt38","BI","BI - Bin"
"bt39","BD","BD - Board"
"bt41","BB","BB - Bobbin"
"bt42","BT","BT - Bolt"
"bt48","BC","BC - Bottlecrate / bottlerack"
"bt49","BX","BX - Box"
"bt63","BJ","BJ - Bucket"
"bt71","BH","BH - Bunch"
"bt72","BE","BE - Bundle"
"bt73","BU","BU - Butt"
"bt74","CG","CG - Cage"
"bt80","CI","CI - Canister"
"bt81","CZ","CZ - Canvas"
"bt82","AV","AV - Capsule"
"bt85","CM","CM - Card"
"bt86","CT","CT - Carton"
"bt87","CQ","CQ - Cartridge"
"bt88","CS","CS - Case"
"bt97","CK","CK - Cask"
"bt98","CH","CH - Chest"
"bt99","CC","CC - Churn"
"bt100","AI","AI - Clamshell"
"bt101","CF","CF - Coffer"
"bt102","CJ","CJ - Coffin"
"bt103","CL","CL - Coil"
"bt128","AJ","AJ - Cone"
"bt130","CV","CV - Cover"
"bt131","CR","CR - Crate"
"bt143","CE","CE - Creel"
"bt144","CU","CU - Cup"
"bt145","CY","CY - Cylinder"
"bt148","DN","DN - Dispenser"
"bt149","DR","DR - Drum"
"bt163","EN","EN - Envelope"
"bt165","FP","FP - Filmpack"
"bt166","FI","FI - Firkin"
"bt167","FL","FL - Flask"
"bt168","FT","FT - Foodtainer"
"bt169","FO","FO - Footlocker"
"bt170","FR","FR - Frame"
"bt171","GI","GI - Girder"
"bt173","HR","HR - Hamper"
"bt174","HG","HG - Hogshead"
"bt175","IN","IN - Ingot"
"bt177","WA","WA - Intermediate bulk container"
"bt221","JR","JR - Jar"
"bt230","JG","JG - Jug"
"bt231","JT","JT - Jutebag"
"bt232","KG","KG - Keg"
"bt233","LV","LV - Liftvan"
"bt234","LG","LG - Log"
"bt236","LT","LT - Lot"
"bt237","MT","MT - Mat"
"bt238","MX","MX - Matchbox"
"bt239","ZZ","ZZ - Mutually defined"
"bt240","NS","NS - Nest"
"bt241","NT","NT - Net"
"bt244","NA","NA - Not available"
"bt245","PK","PK - Package"
"bt254","PA","PA - Packet"
"bt255","PL","PL - Pail"
"bt256","PX","PX - Pallet"
"bt263","PC","PC - Parcel"
"bt264","PF","PF - Pen"
"bt265","PI","PI - Pipe"
"bt267","PH","PH - Pitcher"
"bt268","PN","PN - Plank"
"bt270","PG","PG - Plate"
"bt272","PT","PT - Pot"
"bt273","PO","PO - Pouch"
"bt274","PJ","PJ - Punnet"
"bt275","RK","RK - Rack"
"bt284","RT","RT - Rednet"
"bt285","RL","RL - Reel"
"bt286","RG","RG - Ring"
"bt287","RD","RD - Rod"
"bt289","RO","RO - Roll"
"bt290","SH","SH - Sachet"
"bt291","SA","SA - Sack"
"bt293","SE","SE - Sea-chest"
"bt294","SX","SX - Set"
"bt295","ST","ST - Sheet"
"bt297","SM","SM - Sheetmetal"
"bt299","SW","SW - Shrinkwrapped"
"bt300","SI","SI - Skid"
"bt301","SB","SB - Slab"
"bt302","SY","SY - Sleeve"
"bt303","SL","SL - Slipsheet"
"bt304","SD","SD - Spindle"
"bt305","SO","SO - Spool"
"bt306","SU","SU - Suitcase"
"bt309","TC","TC - Tea-chest"
"bt310","TI","TI - Tierce"
"bt311","TN","TN - Tin"
"bt312","PU","PU - Tray"
"bt320","TR","TR - Trunk"
"bt321","TS","TS - Truss"
"bt322","TB","TB - Tub"
"bt324","TU","TU - Tube"
"bt328","TO","TO - Tun"
"bt329","UC","UC - Uncaged"
"bt330","NE","NE - Unpacked or unpackaged"
"bt333","VP","VP - Vacuum-packed"
"bt334","VK","VK - Vanpack"
"bt335","VA","VA - Vat"
"bt336","VI","VI - Vial"
"bt337","WB","WB - Wickerbottle"
